portal_id,opis_code,delo,dates_raw,year_from,year_to,conjectural,material,reproduction
776,2,0163,до 1938,1938,1938,0,альбом,"типографская печать, фото"
777,2,0164,1940,1940,1940,0,фотографии,фото
778,2,0165,1947,1947,1947,0,портрет,фото
779,2,0166,б/д,,,0,фотографии,фото
780,2,0167,б/д,,,0,фотографии,фото
781,2,0167а,1892 - 1893,1892,1893,0,фотографии,фото
782,2,0167б,1893 - 1902,1893,1902,0,фотографии,фото
783,2,0168,б/д,,,0,фотография,фото
784,2,0169,б/д,,,0,фотографии,фото
785,2,0170,б/д,,,0,портреты,фото
786,2,0171,1862 - 1863,1862,1863,0,портреты,фото
787,2,0172,б/д,,,0,фотография,фото
788,2,0173,б/д,,,0,фотография,фото
789,2,0174,1932 - 1935,1932,1935,0,фотографии,фото
790,2,0175,1932,1932,1932,0,фотографии,фото
791,2,0176,1925 - 1935,1925,1935,0,фотографии,фото
792,2,0177,1891,1891,1891,0,рецензия,машинопись
793,2,0177а,август 1915,1915,1915,0,характеристика,машинопись
794,2,0178,б/д,,,0,предисловие,машинопись
795,2,0179,28.06.1935,1935,1935,0,отзыв,машинопись
796,2,0180,б/д,,,0,отзывы,машинопись
797,2,0181,19.08.1880,1880,1880,0,аттестат,рукопись
798,2,0182,22.09.1935,1935,1935,0,письмо,машинопись
799,2,0183,25.09.1935,1935,1935,0,письмо,машинопись
800,2,0184,[1935],1935,1935,1,письмо,машинопись
801,2,0185,27.02.1940,1940,1940,0,письмо,машинопись
802,2,0185а,28.02.1958,1958,1958,0,записка,машинопись
803,2,0186,б/д,,,0,конспекты,"автограф, машинопись"
804,2,0187,1957 - 1966,1957,1966,0,материалы,"машинопись, фото"
805,2,0188,1958,1958,1958,0,брошюра,типографская печать
806,2,0189,1933,1933,1933,0,фотографии,фото
807,2,0190,1959,1959,1959,0,брошюра,типографская печать
808,3,0001,23.10.1890 - 30.11.1890,1890,1890,0,письмо,"автограф, машинопись, рукопись"
809,3,0002,24.02.1893,1893,1893,0,заключение,"машинопись, рукопись"
810,3,0003,03.01.1897,1897,1897,0,письмо,автограф
811,3,0004,1904,1904,1904,0,заметка,типографская печать
812,3,0005,31.03.1905,1905,1905,0,письмо,автограф
813,3,0006,02.02.1905,1905,1905,0,письма,машинопись
814,3,0007,24.06.1909,1909,1909,0,прошение,"автограф, типографская печать"
815,3,0008,20.10.1912,1912,1912,0,письмо,машинопись
816,3,0009,01.06.1914 - 20.01.1915,1914,1915,0,письма,машинопись
817,3,0010,28.09.1916,1916,1916,0,письмо,автограф
818,3,0011,Июнь 1919,1919,1919,0,письмо,автограф
819,3,0012,06.02.1919 - 08.02.1919,1919,1919,0,письмо,рукопись
